,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
511,PERANCANGAN SISTEM PERSEDIAAN PRODUK JADI MENGGUNAKAN SIC (STATISTIKA INVENTORY CONTROL),EKA NOVIA,"SUGENG PURWOKO, ST., MT","AHMAD MUGHNI ST., MENG., MGT","ABSTRAK
PT Tjakrindo Mas merupakan perusahaan memproduksi berbagai jenis produk yang tercover dalam beberapa divisi, salah satu divisi dari perusahaan ini adalah pipa dan sambungan. Terdapat 3 jenis pipa yaitu jenis Excellon, Supramas dan SNI provilon, yang menjadi fokus pada penelitian ini adalah pipa jenis supramas dan excellon karena termasuk pipa yang presentase permintaan setiap bulanya tinggi. Sehingga presentase kegagalan dalam perencanaan, pengendalian dan proses produksinya juga sering mengalami permasalahan.
Tujuan dari penelitian ini adalah melakukan perbaikan pada sistem persediaan yaitu menyeimbangkan antara rata-rata permintaan dengan jumlah produksi optimal, titik pemesanan ulang dan safety stock pada produk Supramas dan Excellon dengan pendekatan (statistical inventory control). Prosedur pengolahan data dari penelitian ini yaitu melakukan analisis pada 38 item dari 2 produk Supramas dan Excellon menggunakan uji normalitas untuk mengetahui distribusi data permintaan seingga diperoleh hasil bahwa 35 item produk bersifat normal sehingga dilakukan pengolahan persediaan menggunakan metode Q dan P untuk menggetahui biaya minimalnya, sedangkan untuk 3 item lainya menggunakan probabilistik sederhana karena data memiliki standar deviasi dan varian sehingga masih termasuk dalam probabilistik meskipun tidak lulus uji normalitas data.
Dari perhitungan dan analisis data yang dilakukan terdapat 5 item produk yang menggunakan metode persediaan P model, 3 item menggunakan metode persediaan sederhana dan 30 item lainya menggunakan metode persediaaan Q sehingga diperoleh hasil produksi optimal, titik reorder point dan safety stock. Sehingga dari perhitungan kebutuhan hari kerja disimpulkan bahwa kebutuhan hari kerja berdasarkan persediaan hanya membutuhkan 2 shift kerja.
Kata Kunci: SIC (Statistical inventory control), Metode Probabilistik Q dan P Model, Metode Probabilistik sederhana, ROP (Reorder Point) dan Safety stock.
"
512,"USULAN PERBAIKAN ALOKASI PENYIMPANAN 
RAW MATERIAL VAP DENGAN METODE 
CLASS-BASED STORAGE ",Muhsin Fathurraziq,"Imron Kuswandi, S.T.,M.T","Sugeng Purwoko, S.T.,M.T","Tataletak pabrik merupakan aspek utama dalam dunia industri dikarenakan berkaiatan erat dengan pengelolaan fasilitas pabrik. Tata letak pabrik yang optimal berdampak terhadap kelancaran seluruh operasi dalam pabrik. Salah satu cara yang dilakukan dalam mencapai kelancaran proses operasi dalam pabrik yaitu melalui sistem penyimpanan material yang baik. Dengan sistem penyimpanan material yang baik akan menjamin ketersediaan pada waktu yang tepat dan jumlah yang tepat, sehingga dapat memperlancar proses produksi. Namun terkadang terdapat kendala yang dihadapi dalam penyimpanan raw material yaitu kurangnya penataan yang baik, sehingga kapasitas gudang yang tersedia kurang optimal. Dengan metode Class Based Storage dengan kombinasi analisis FSN diharapakan alur proses keluar masuk raw material dapat berjalan dengan maksimal sehingga kapasitas yang tersedia dapat dimaksimalkan dengan baik. PT. Petrojaya Boral Plasterboard merupakan Pabrik Gipsum pertama di Indonesia yang terus mengembangkan berbagai inovasi produk, salah satunya adalah produk papan gipsum yang memiliki daya ketahanan yang tinggi terhadap kelembaban, air, api, jamur dan benturan. Selama ini dalam perusahaan belum ada anlisa dalam melakukan penyimpanan raw material VAP (Value Added Product), sehingga kapasitas rak raw material VAP kurang optimal penggunaannya. Oleh karena itu perlu dilakukan pengaturan ulang tataletak raw material VAP sehingga kapasitas rak raw material VAP yang tersedia dapat optimal. Penelitian ini diawali dengan melakukan perhitungan nilai average stay dan consumtion rate dari setiap raw material. Kemudian dilakukan perbandingan nilai average stay dan consumtion rate dari setiap raw material, sehingga akan diperoleh penggolongan raw material Fast Moving sebanyak 4 jenis, Slow Moving sebanyak 14 jenis dan Non-Moving sebanyak 7 jenis. Dari penggolangan raw material diterapkan dalam rak material yang tersedia, sehingga terdapat kepastian lokasi setiap raw material dan kapasitas rak dapat dimanfaatkan secara optimal.  

Kata Kunci : Tataletak Pabrik, Class Based Storage, Analisis FSN"
513,"PERBANDINGAN METODE CAMPBELL DUDEK SMITH, PALMER DAN DANNENBRING PADA PENJADWALAN PEMBUATAN 
SUB KOMPONEN HINGE RIB UNTUK MEMINIMASI MAKESPAN ",Dhafit Edhi Wibowo,"Imron Kuswandi, S.T.,M.T","Issa Dyah Utami S.T.,M.T.,Ph.D","PT. Dirgatara Indonesia merupakan perusahaan manufaktur yang bergerak dalam bidang pembuatan pesawat terbang, khususnya pada departemen spirit aerosystem yang mengerjakan beberapa program pesanan dari pelanggan seperti pembuatan sayap pesawat A380. Pada tahun 2017 pembuatan sayap pesawat A380 khususnya bagian machining terdapat keterlambatan pengiriman menuju bagian assembly yang mengakibatkan keterlambatan pengiriman pada pelanggan sehingga perlu dilakukan penjadwalan. Penelitian ini membandingkan tiga metode penjadwalan yaitu campbell dudek smith, palmer dan dannenbring dengan tujuan meminimasi makespan. Hasil metode terbaik dalam minimasi makespan adalah metode campbell dudek smith, dengan urutan penjadwalan mulai dari job 13-6-5-3-10-4-9-1-7-8-18-11-14-19-17-2-20-12-15-16. Penjadwalan perusahaan yang semula dengan menggunakan metode FCFS memiliki nilai makespan sebesar 47,99 jam menjadi 46,03 jam, sehingga dapat disimpulkan bahwa metode campbell dudek smith dapat meminimasi makespan sebesar 1,96 jam atau 117,84 menit. 

Kata Kunci  : Penjadwalan, campbell dudek smith, palmer, dannenbring, makespan"
514,"ANALISIS PENGENDALIAN PERSEDIAAN BAHAN BAKU DALAM 
USAHA SANDAL MERK SISCO DENGAN METODE ECONOMIC 
ORDER QUANTITY (EOQ).",Johan Pratama,"Sugeng Purwoko, S.T., M.T.","Agus Salim,S.T,. M.T","Produk yang diproduksi pada insudustri kecil  merk  SISCO sering  kali tidak  sesuai 
dengan jumlah permintaan dari konsumen. Permasalahan ini juga ditambah dengan jadwal 
pemesanan  bahan  baku  dari  konsumen.  Permasalahan  pada  bahan  baku  ini  dibutuhkan 
penyelesaian dengan menggunakan metode EOQ (Economic Order Quantity) dikarenakan 
dalam pembuatan sandal ini harus memesan dari suplier. Persediaan adalah material yang 
disimpan berupa bahan mentah, barang dalam proses dan barang jadi.  Untuk mengetahui 
persediaan  pada  suatu  perusahaan  salah  satu  model  persediaan  yang  digunakan  adalah 
model kuantitas pesanan ekonomis (economic order quantity). Metode  EOQ ini berusaha 
mencapai tingkat persediaan minimum mungkin dan biaya yang rendah serta  mutu yang 
lebih  baik.  Dari  perhitungan  pengendalian  persediaan  bahan  baku  yang  telah  dilakukan 
dengan menggunakan metode EOQ (Economic Order Quantity) pada industri kecil sandal 
merk SISCO, didapatkan hasil grand total cost yang dikeluarkan oleh industri kecil sandal 
merk SISCO perbulan untuk penyediaan bahan baku adalah Rp 5,293,541.03."
515,ANALISIS PENGENDALIAN KUALITAS DAN USULAN PERBAIKAN PRODUK SC 9 MM,Sugeng Priyono,"Sugeng Purwoko, S.T.,M.T.","Teguh Prasetyo, S.T.M.T.","PT. XYZ merupakan perusahaan yang bergerak dalam produksi papan gipsum yang memiliki anak cabang yang bergerak di daerah Gresik. Perusahaan telah melakukan pengendalian kualitas terhadap produk papan gypsum namun masih memiliki presentase cacat yang tidak sesuai target perusahaan seperti produk SC 9 mm memiliki presentase cacat sebesar 3,1% sedangkan presentase yang dikehendaki adalah 1%. Pengendalian kualitas pada penelitian ini menggunakan metode six sigma dengan tahapan DMAIC. Proses pembuatan produk SC 9 mmm memiliki nilai level sigma sebesar 4,105 yang artinya rata-rata Amerika. Pengendalian kualitas yang dilakukan diketahui cacat paling berpengaruh adalah cacat Blister. Faktor penyebab cacat blister adalah sambungan pada belt 2, sinkronisasi forming belt, conveyor roll, water spray, smoothing bar, motor foam system, lignment, penyambungan paper, kualitas paper, lem, slurry fluct dan fast setting. Penyebab tersebut didapatkan penyebab prioritas dengan metode FMEA yaitu kesalahan conveyor roll, joint belt 2, lignment paper, motor foam system dan slurry fluct. "
516,"Evaluasi Beban Kerja Pengangkut Sampah Dengan Pendekatan Biomekanika Dan Fisiologi Kerja
(Studi Kasus Pekerja Sampah Di Kamal)",Fakhrurrozi,"Mahrus Khoirul Umami, S.T., M.Sc., PhD","Indra Cahyadi S.T., M.BUS., PhD","ABSTRAK
Penggunaan manusia sebagai pekerja, sering melakukan pekerjaan dengan cara manual tanpa alat bantu. Pekerjaan ini disebut manual material handling. Dalam kegunaannya dalam bidang industri atau kegiatan angkut barang memang tenaga manusia sering digunakan untuk melakukan pekerjaan angkat barang dengan beban yang tidak sedikit. Dalam penelitian ini, kami ingin melakukan pengamatan kepada pekerja pengangkut sampah dengan kajian Biomekanika dan fisiologi kerja. Biomekanika ini diterapkan dengan melakukan analisa gerakan dengan menggunakan perhitungan RWL-LI pada persamaan NIOSH 1991 (Revisi), sedangkan pada fisiologi kerja digunakan dalam mengetahui kondisi kapasitas oksigen dan denyut nadi yang diukur menggunakan alat oximeter. Pada usulan perbaikan kami menggunakan model 3D dengan mengunakan aplikasi SketchUp"
517,"EVALUASI DAN USULAN PERBAIKAN SISTEM LAYANAN
TRIPLE PLAY INDIHOME DI KOTA SEMARANG",Wahyu Nanda Ramadhan,"DR. Rachmad Hidayat S.T., M.T.","Sabarudin Akhmad S.T., M.T.,","Permasalahan dalam penelitian ini adalah Bagaiamana kegiatan yang diarahkan untuk
memenuhi kebutuhan dan keinginan manusia melalui proses pertukaran. Manfaat
Penelitian Secara teoritis, hasil penelitian ini diharapkan dapat menambah dan
memperluas jangkauan pengguna IndiHome. Secara praktis, dapat dijadikan sebagai
masukan yang dapat dipertimbangkan oleh PT Telkom Semarang untuk bersaing
dengan perusahaan telekomunikasi lainnya dalam pencapaian peningkatan pengunaan
IndiHome. Secara metodologis, sebagai bahan informasi tambahan bagi peneliti
selanjutnya dalam rangka memperkarya literatur hasil penelitian khususnya yang
berkaitan dengan strategi promosi. Penelitian ini dilaksanakan di wilayah Kota
Semarang dengan lokasi penelitian di PT. Telkom Semarang. Teknik penentuan
informan dalam penelitian ini dilakukan secara Accidental Sampling, dengan
kuesioner berjumlah 100 responden dan jumlah informan sebanyak 6 orang berupa
manajer marketing IndiHome dan 5 orang pengguna aktif IndiHome. Data yang
dikumpulkan dengan menggunakan metode obsevasi, wawancara, dan dokumentasi.
"
518,Peningkatan Kualitas Pelayanan Rumah Sakit dengan Menggunakan Metode Quality Function Development (QFD),Roisatun Nisa',"Imron Kuswandi, S.T. M.T.","Ari Basuki, S.T. M.T.","Salah satu sarana pelayanan kesehatan yang mempunyai peran yang sangat penting dan juga memberikan pelayanan kesehatan kepada masyarakat adalah rumah sakit. Kepuasan konsumen dapat dicapai dengan memberikan pelayanan dengan kualitas yang baik dan berfokus pada kepuasan pelanggan. Untuk mengetahui pelayanan yang diinginkan, dibutuhkan, dan diharapkan oleh pelanggan, maka dilakukan penelitian kepada pelanggan untuk mengetahui hal tersebut. Sehingga tidak terjadi perbedaan persepsi antara pelanggan dan juga pihak Rumah Sakit. Selain itu Rumah Sakit dapat memberikan peningkatan kualitas layanan secara tepat. Oleh karena itu, untuk mengetahui keinginan dan kebutuhan pelanggan Rumah Sakit Umum XYZ dilakukan penelitian dengan menggunakan metode Quality Function Deployment (QFD). instrumen penelitian yang digunakan pada penelitian ini beruaapa kuesioner yang memiliki 21 kriteria pelayanan. Kuesioner disebarkan di ruang rawat inap. Berdasarkan pembuatan matrik House of Quality diketahui bahwa pelatihan staff memiliki kepentingan relatif terbesar yaitu sebesar 0,311 atau 31,11%. Sehingga menjadi prioritas perbaikan yang perlu dilakukan oleh pihak rumah sakit."
519,Penerapan Model  Linier Programming Untuk Mengoptimalkan Produksi Pada Industri Sedotan,MOCH FERRY SETYONO,"IMRON KUSWANDI S.T., M.T.","TRISITA NOVIANTI S.TP., M.T.","Penelitian dilakukan di PT. Karya Bersama Gemilang yang merupakan salah satu perusahaan make to order  yang memproduksi sedotan.  Penelitian ini mengenai perencanaan produksi berdasarkan tujuan yaitu memaksimalkan pendapatan produksi pada perusahaan dengan kendala-kendala yang ada meliputi kendala waktu tersedia, kendala kapasitas mesin dan jumlah permintaan. Dalam memaksimalkan pendapatan pada perusahaan menggunakan metode linier programming untuk mencari solusi optimal, dengan bantuan software excel solver untuk menentukan analisis sensitivitas.  Dari hasil perhitungan single straw (24*0,4*14) sebanyak 1.584.000 karena keterbatasan waktu yang tersedia dalam satu periode, memproduksi sedotan dengan tipe I-shape straw (24*0,22*12) sebanyak 341.450,  memproduksi sedotan dengan tipe I-shape straw (40*0,22*12) sebanyak 70.000 , memproduksi sedotan dengan tipe I-shape straw (48*0,22*12) sebanyak 39.000 , memproduksi sedotan dengan tipe single straw MP (24*0,35*12) sebanyak 1.008.000 , memproduksi sedotan dengan tipe single straw jumbo SBL (24*0,4*14) sebanyak 1.103.833 karena keterbatasan waktu yang tersedia dalam satu periode, memproduksi sedotan dengan tipe I-shape straw SBL (24*0,4*11,5) sebanyak 0 karena tidak ada order yang di terima, memproduksi sedotan dengan tipe single straw HN (24*0,22*12) sebanyak 486.000 dengan pendapatan yang diperoleh sebesar Rp 17.397.643 pada februari 2018. 
"
520,Minimasi Terjadinya Bottleneck di PT. Gaya Sukses Mandiri Kaseindo dengan Pendekatan Simulasi,Eka Rahmawati Puspitasari,"Ari Basuki, S.T.,M.T","Mahrus Khoirul Umami, S.T., M.Sc","Proses produksi pallet di PT Gaya Mandiri Kaseindo 100% masih dilakukan secara semi otomatis, salah satu karakteristik produksi semi otomatis yaitu memiliki work in process (WIP) yang tinggi. Untuk menurunkan tingkat bottleneck dan menyeimbangkan lintasan produksi salah satu cara yang digunakan yaitu menggunakan simulasi. Dengan menggunakan software Arena dibuat model sistem nyata yang sudah di validasi dan verifikasi sehingga dapat mewakili system nyata. Sebagai analisisnya dilakukan pengembangan usulan perbaikan model simulasi. Peneliti mengusulkan 2 skenario perbaikan, perbaikan pertama yaitu penggabungan proses untuk menurunkan work in process pada setiap stasiun kerja dan meningkatkan utilitas mesin serta operator. Perbaikan kedua yaitu penambahan mesin serta empat operator untuk  meingkatkan output produksi"
521,STRATEGI PENGENDALIAN RISIKO PADA SUPPLY BAHAN BAKU DENGAN PENDEKATAN MANAJEMEN RISIKO,DIAN RACHMA ANGGRAINI,"ISSA DYAH UTAMI S.T,.M.T,.Ph.D","ACHMAD MUGHNI S.T,.M.Eng.Mgt","Rantai pasok merupakan hal yang penting dalam berlangsungnya proses produksi pada perusahaan lokal maupun imternasional menentukan sejauh mana nilai efisiensi dan efektifitas sari pemesanan hingga barang di produksi dan jatuh pada tangan konsumen. PT Gaya Sukses Mandiri Kaseindo merupakan perusahaan yang bergerak dibidang manufaktur yang menggunakan strategi produksi make to stock yang sering mengalami kendala pada proses penerimaan bahan baku. Dalam menangani risiko yang terjadu dilakukan pendekatan supply chain risk management (SCRM) dimana dilakukan risk assement tahapan awal identifikasi risiko dengan hasil 23 risiko dimana 3 risiko dari manajer produksi , 5 risiko oleh admin PPIC produksi, 7 risiko dari PPIC row material, dan 8 risiko dari operator petugas tally dan grade. Selanjutnya dilakukan analisa risiko hasil dari nilai dan dampak yang terjadi pada level yang sudah ditentukan. Hasil yang didaptkan oleh analisis risiko dilakukan evaluasi risiko dengan menggunakan tool RPN ( Risk Priority Number ) dan peta level risiko sehingga dilakukan penanganan mitigasi risiko dari mengurangi risiko, memindahkan risiko, menciptakan strategi baru,  dan menghindari risiko. Hasil dari penelitian ini yaitu memindahkan risiko yaitu dengan menambahkan pihak ketiga yaitu perusahaan asuransi agar meminimalisir kehilangan bahan baku. "
522,Analisis Persediaan Bahan Baku Produk Filter Rokok menggunakan Metode Materail Requirement Planning (MRP) (Studi Kasus: PT. Essentra),Fairuz Bita Syawaliannis,"Imron Kuswandi, S.T., M.T.","Ahmad Mughni, S.T., M.Eng.Mgt","Persediaan merupakan sumber daya yang digunakan pada sistem manufaktur dalam kegiatan produksi ataupun pada sistem distribusi dalam kegiatan pemasaran. (Ginting, 2007). PT Essentra adalah perusahaan yang bergerak dalam bidang manufaktur yang berasal dari Inggris. Filter rokok merupakan salah satu hasil produksi yang dibuat di PT Essentra, sehingga perusahaan ini terus-menerus menciptakan variasi dari filter rokok.Permasalahan yang terjadi pada PT Essentra ini adalah kurangnya persediaan bahan baku untuk produk filter sehingga perlu adanya analisis perencanaan kebutuhan bahan baku itu sendiri.
Pada penelitian ini data yang digunakan adalah data permintaan produk mono filter dan combine filter. Untuk proses peramalan meenggunakan metode Single Exponential Smoothing dan Moving Average yang hasilnya akan digunakan sebagai jadwal induk produksi untuk proses Material Requirement Planning (MRP). Metode MRP yang digunakan yaitu Economic Order Quantity dan Lot For Lot. Hasil akhir dari penelitian ini yaitu membandingkan biaya dari hasil MRP, dan metode Lot For Lot dapat digunakan untuk pihak perusahaan karena menghasilkan biaya yang minimum.
Kata Kunci : Filter Rokok, Persediaan, Material Requirement Planning."
523,"ANALISIS STRATEGI PENINGKATAN KUALITAS LAYANAN APLIKASI OJEK ONLINE MENGGUNAKAN PENDEKATAN HOUSE OF QUALITY 
(Studi Kasus Ojek Online He-eh Jek)",NUR FITRIANA,"ARI BASUKI, S.T.,M.T.","RULLIE ANNISA, S.T.,M.T.","Penelitian ini bertujuan menerapkan pendekatan House Of Quality dalam menganalisis kebutuhan konsumen untuk meningkatkan kualitas layanan aplikasi ojek online pada Heeh Jek di kabupaten Nganjuk tahun 2018. Atribut yang digunakan sebagai persyaratan konsumen pada penelitian ini yaitu kemudahan pengguna, fleksibilitas sistem, kehandalan sistem, kecepatan respon, persepsi penggunaan, keamanan, menarik, harga, kemampuan fitur, jangkauan lokasi, variasi menu, tanda terima online, akurasi jarak tempuh, program promosi dan terdapat layanan pengaduan. Atribut yang digunakan sebagai persyaratan teknik yaitu meningkatkan keamanan akun pengguna, memberikan promosi yang menarik, meningkatkan variasi pilihan menu, memperbaiki keakuratan lokasi, memperbaiki bug sistem serta meningkatkan aksebilitas sistem. Metode yang digunakan untuk melakukan analisis yaitu menggunakan QFD (Quality Function Deployment) sampai pada tahap pertama yaitu House Of Quality. Berdasarkan uji validitas diperoleh seluruh nilai correlation pada seluruh atribut ? Rtabel (0.2787) dan Cronbach’s Alpha (0.872) ? Rtabel (0.2787) sehingga atribut penelitian yang digunakan reliabel. Hasil analisis menggunakan pendekatan HOQ menunjukkan bobot absolut tertinggi dari persyaratan teknis yaitu pada memperbaiki bug sistem dengan nilai 145.28, sehingga persyaratan ini dianggap sebagai nilai kritis yang dapat memberikan peluang terbesar dalam melakukan peningkatan layanan aplikasi. "
